,DataYear_2014,DataYear_2015,DataYear_2016,BuildingType_Campus,BuildingType_Multifamily Housing,BuildingType_NonResidential,PrimaryPropertyType_Bank Branch,PrimaryPropertyType_Courthouse,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Financial Office,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Multifamily Housing,PrimaryPropertyType_Office,PrimaryPropertyType_Residence Hall/Dormitory,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Supermarket/Grocery Store,PrimaryPropertyType_Wholesale Club/Supercenter,PrimaryPropertyType_Worship Facility,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9698053542314625,-0.06363862489939465,0.5940920790118528,0.02417874890142787,-0.21749248480811756,-0.38560592050652664,-0.5741795306521787,0.5453290703730221,0.1483008181950694,0.9012874008701436,0.3469730288194087,-0.3600782241193192,1.2180075006412288,-1.2037627359515104,quin3,71.0
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.762680069815575,-0.06363862489939465,0.95076700538938,0.4286646415680656,0.26361706897007686,1.1586705728845217,1.0748351962791292,1.040242986349295,1.4372907363180514,0.06950156971968806,1.376210244185055,1.3107312912492803,-1.2049225930966907,-1.3689633796610265,quin0,19.0
2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.062312989254442834,-0.06363862489939465,0.33181819026681425,0.13242120500181867,-0.0731481959969304,-0.22791711731281214,-0.35462786992744677,0.35819414243430353,0.043771843812106144,0.7110399350833466,0.1971570227326808,-0.2024736759176208,-1.9628609794489023,-0.5988025922978498,quin3,68.0
3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.7773069737817917,-0.06363862489939465,0.6056676700553372,0.15867630752369646,-0.0731481959969304,-0.18281827326653696,-0.3386253507686199,0.608603243001345,0.2830785072607032,0.9221470470945423,0.4475479989851556,-0.15254290481590002,0.7788317516927844,-2.617712192734627,quin3,66.0
4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.9423055855957952,-0.06363862489939465,0.5201947306631882,0.2606956732315912,-0.1012813998534251,0.01577547079501306,-0.18477846637247608,0.5770003404838432,0.3529915622900206,0.8439349396813429,0.4689756711078237,0.06032467466343088,-0.9637558993806492,-0.7998757622576966,quin2,54.0
5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.062312989254442834,-0.06363862489939465,0.746238991612834,2.5342285810700966,2.4300806197010565,2.1913489103786845,2.172482160750479,1.7653388882878644,1.3283324514931831,1.9188243190777414,1.5750968806051442,2.155764023111634,-2.3401803833790793,1.7842455282827134,quin2,57.0
6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1201770620792495,-0.06363862489939465,0.4700502693575964,0.978496673253215,0.7770741318885763,0.8265192439545125,0.7239058654376904,0.8461865142226166,0.6808751024884481,1.0198800351474135,0.7806247515979888,0.8671640016023578,-2.0788419996812926,0.38884183993652743,quin0,19.0
7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.19981183243277914,-0.06363862489939465,0.5942151106398891,0.4969324977860838,0.3578019417639487,-0.25852705812034316,-0.35462786992744677,0.7508192192529131,-0.09557964038867134,1.209196138615752,0.36655827828371335,-0.31684084516820615,-0.6519521530568334,0.7195385653127767,quin0,15.0
8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.3823018837664716,-0.06363862489939465,0.6779555358538057,0.7104172998345157,0.5136452801551561,0.4652916799765179,0.35188790708954026,0.9193559292106158,0.6391302592697707,1.1506737237168603,0.7906609193992016,0.4927862683556033,1.5764254089529184,-0.23522335908828151,quin2,46.0
9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.14481229516144462,-0.06363862489939465,0.714875210410381,-0.5413074225523627,-0.7165664742569011,-0.4861986912064432,-0.6100205368176977,0.4123245180622922,0.42757721985201746,0.5470333926307331,0.43916706105740266,-0.37928776760649036,-1.3924339533437162,-2.518127731999527,quin3,66.0
10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5151821520945697,0.10395063640150229,0.7602916511708714,2.8184747812675277,2.787073121945256,2.6693944870637005,2.631147196498906,1.998261291061444,1.5091876187006041,2.1353438871882457,1.786189585061416,2.6114257852576235,-1.2137330172015233,0.831796281677964,quin0,1.0
11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.9698053542314625,-0.06363862489939465,1.0440381379452368,-0.060616168705876966,-0.24751387806890776,0.19729008913028012,0.09750959652014822,0.9113426713290547,0.9604602141675971,-0.04844109688272877,1.026709468563225,0.3341680910488813,-1.428841761658367,1.0687743768416855,quin4,83.0
