,DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),Latitude,Longitude,ENERGYSTARQuintile,ENERGYSTARScore
0,2014,Campus,K-12 School,1927.0,1.0,319900.0,80.0,75.0,129.0,122.0,25621068.0,6889272.0,18731796.0,2379.0,7.44,41.96501325,-87.71451268,quin3,71.0
1,2014,Campus,K-12 School,1990.0,1.0,447330.0,96.0,93.0,268.0,261.0,42972998.0,35792767.0,7180231.0,7573.0,16.93,41.802759,-87.72267099999999,quin0,19.0
2,2014,Campus,K-12 School,1960.0,1.0,250000.0,84.0,80.0,139.0,135.0,21070408.0,6027551.0,15042857.0,2010.0,8.04,41.7520028,-87.68463714,quin3,68.0
3,2014,Campus,K-12 School,1934.0,1.0,323400.0,85.0,80.0,142.0,136.0,27372337.0,8184634.0,19187703.0,2664.0,8.24,41.93560335,-87.7843396,quin3,66.0
4,2014,Campus,K-12 School,1928.0,1.0,298432.0,89.0,79.0,156.0,146.0,26483176.0,8949806.0,17533370.0,2729.0,9.15,41.818909000000005,-87.694567,quin2,54.0
5,2014,NonResidential,Hospital,1960.0,1.0,369087.0,248.0,245.0,437.0,433.0,91675583.0,31138936.0,60536647.0,9472.0,25.66,41.72673518,-87.56695195,quin2,57.0
6,2014,Campus,K-12 School,2003.0,1.0,284691.0,123.0,117.0,229.0,222.0,35085711.0,13609687.0,21476024.0,3875.0,13.61,41.744236,-87.635863,quin0,19.0
7,2014,Campus,K-12 School,1955.0,1.0,319937.0,99.0,97.0,137.0,135.0,31757869.0,5044007.0,26713862.0,2432.0,7.6,41.83978929,-87.61953177,quin0,15.0
8,2014,Campus,K-12 School,1912.0,1.0,346140.0,109.0,104.0,193.0,187.0,37873507.0,12902451.0,24971056.0,3919.0,11.32,41.98901511,-87.66668203,quin2,46.0
9,2014,Campus,K-12 School,1957.0,1.0,358364.0,62.0,60.0,123.0,120.0,22296568.0,9845145.0,12451423.0,2639.0,7.37,41.79020209,-87.77942169,quin3,66.0
10,2014,NonResidential,Hospital,1981.0,2.0,373995.0,281.9,287.4,548.0,535.0,116938339.0,39238375.0,77699964.0,12011.0,32.11,41.802169,-87.613988,quin0,1.0
11,2014,NonResidential,Office,1927.0,1.0,488322.0,77.0,74.0,170.0,166.3,37557701.0,19456661.0,6267428.2,5111.0,10.47,41.787764,-87.602285,quin4,83.0
12,2014,NonResidential,Hospital,1983.0,1.0,430772.0,251.0,251.0,515.0,515.0,107922458.0,47458293.0,6267428.2,13550.0,31.45,41.789224,-87.604896,quin0,12.0
13,2014,NonResidential,Hospital,2013.0,1.0,1205371.0,231.0,227.0,462.0,458.0,203843576.0,114832771.0,6267428.2,28903.4,28.13,41.7910213,-87.60552924,quin0,16.0
14,2014,NonResidential,Hospital,2006.0,1.0,252204.0,281.9,287.4,618.5,621.2000000000002,82294733.0,37006313.0,6267428.2,10442.0,37.0,41.79022382,-87.60461196,quin0,3.0
15,2014,Campus,K-12 School,1910.0,1.0,454800.0,88.0,83.0,148.0,142.0,40145157.0,12030668.0,28114489.0,3910.0,8.6,41.94750755,-87.735506,quin3,80.0
16,2014,Campus,K-12 School,1969.0,1.0,297418.0,33.0,33.0,104.0,104.0,9850591.0,9850591.0,6267428.2,1979.0,6.65,41.803961,-87.590479,quin4,85.0
17,2014,NonResidential,Hospital,2004.0,15.0,1143379.0,176.0,172.0,323.0,317.0,201563877.0,75466070.0,107807279.3,21860.0,19.12,41.93678761,-87.65090588,quin4,89.0
18,2014,Campus,K-12 School,1898.0,1.0,266099.0,66.0,60.0,111.0,104.0,17646162.0,5222793.0,12423369.0,1709.0,6.42,41.95525436,-87.66860456,quin4,85.0
19,2014,NonResidential,Hospital,1960.0,2.0,681807.0,239.0,235.0,444.0,439.0,163091876.0,62963376.0,100128500.0,17968.0,26.35,41.93498449,-87.63728308,quin1,36.0
20,2014,Campus,K-12 School,1901.0,1.0,269474.0,87.0,80.0,142.0,133.0,23561151.0,6449656.0,17111495.0,2205.0,8.18,41.918361,-87.646171,quin3,63.0
21,2014,NonResidential,Office,1986.0,1.0,871962.0,69.0,66.0,214.0,204.0,59871744.0,59096795.0,774949.0,11915.0,13.66,41.88160573,-87.6327278,quin3,67.0
22,2014,NonResidential,Office,1983.0,1.0,2054590.0,63.0,63.0,197.0,197.0,168097890.0,124794002.0,1605600.0,28903.4,12.59,41.8816073,-87.63751717,quin4,85.0
23,2014,NonResidential,Office,1980.0,1.0,663093.0,79.0,77.0,249.0,241.0,52535110.0,52535110.0,6267428.2,10555.0,15.92,41.88356984,-87.63641379999999,quin3,80.0
24,2014,NonResidential,Office,1969.0,1.0,1281847.0,92.0,89.0,191.0,187.0,118228265.0,57641168.0,60587097.0,14799.0,11.54,41.8876921,-87.62356505,quin3,73.0
25,2014,NonResidential,Office,2004.0,1.0,1248730.0,76.0,74.0,240.0,232.0,95260754.0,95260754.0,6267428.2,19139.0,15.33,41.880334999999995,-87.636667,quin3,78.0
26,2014,NonResidential,Office,1962.0,1.0,620454.0,123.0,116.0,219.0,212.0,76188438.0,27102604.0,36050637.0,8047.0,12.97,41.87784862,-87.63130907,quin3,76.0
27,2014,NonResidential,Office,1991.0,1.0,477123.0,58.0,56.0,183.0,174.0,27764608.0,27764608.0,6267428.2,5578.0,11.69,41.88374717,-87.63315639,quin3,77.0
28,2014,NonResidential,Office,1929.0,1.0,760892.0,72.0,69.0,133.0,130.0,54647023.0,21194744.0,22781363.0,6031.0,7.93,41.88035359,-87.63280586,quin4,91.0
29,2014,NonResidential,Office,1910.0,1.0,512369.0,140.0,134.0,243.0,236.0,71837242.0,23790040.0,39696042.0,7328.0,14.3,41.87991058,-87.62493152,quin2,58.0
30,2014,NonResidential,Office,1986.0,1.0,587815.0,63.0,60.0,199.0,190.0,37238636.0,37238636.0,6267428.2,7482.0,12.73,41.88411984,-87.63649725,quin3,77.0
31,2014,NonResidential,Office,1974.0,1.0,648309.0,68.0,68.0,213.0,213.0,43907868.0,43907868.0,6267428.2,8822.0,13.61,41.8797333,-87.63641137,quin3,63.0
32,2014,NonResidential,Office,2002.0,1.0,1652550.0,97.0,96.0,305.0,302.0,160489451.0,124794002.0,89371.6,28903.4,19.51,41.87980869,-87.62854911,quin3,77.0
33,2014,NonResidential,Office,1934.0,1.0,1547120.0,126.0,122.0,232.0,228.0,195347285.0,74409271.0,93728074.0,21362.0,13.81,41.87977276,-87.63155683,quin3,68.0
34,2014,NonResidential,Office,1984.0,1.0,733118.0,62.0,59.0,195.0,185.0,45465890.0,45465890.0,6267428.2,9135.0,12.46,41.88483521,-87.62496769,quin3,73.0
35,2014,NonResidential,Office,1970.0,1.0,265117.0,126.0,120.0,225.0,218.0,33404148.0,11708148.0,21696000.0,3505.0,13.22,41.88476971,-87.63734502,quin3,73.0
36,2014,NonResidential,Office,2009.0,1.0,1334888.0,88.0,85.0,218.0,210.0,116771989.0,81559800.0,6267428.2,18242.0,13.67,41.884658,-87.636809,quin3,80.0
37,2014,NonResidential,Office,1992.0,1.0,1200836.0,68.0,68.0,213.0,213.0,81305742.0,81305742.0,6267428.2,16335.0,13.6,41.88490511,-87.6305179,quin4,81.0
38,2014,NonResidential,Office,1914.0,1.0,409072.0,71.0,66.0,152.0,147.0,29190850.0,15055095.0,14135755.0,3776.0,9.23,41.88270627,-87.62731812,quin4,85.0
39,2014,NonResidential,Office,1928.0,1.0,1809140.0,87.0,84.0,180.0,176.0,156988031.0,77678650.0,33398517.0,19800.0,10.94,41.87749352,-87.63319804,quin4,90.0
40,2014,NonResidential,Office,1972.0,1.0,857412.0,105.0,102.0,194.0,189.0,90059253.0,34885107.0,36531716.0,9932.0,11.58,41.88538772,-87.63289117,quin3,80.0
41,2014,NonResidential,Office,1990.0,1.0,1082248.0,70.0,70.0,219.0,219.0,75590570.0,75482516.0,6267428.2,15173.0,14.02,41.88158551,-87.63338486,quin3,73.0
42,2014,NonResidential,Office,1985.0,1.0,882560.0,73.0,70.0,228.0,220.0,64030673.0,63997553.0,6267428.2,12860.0,14.57,41.8797561,-87.63268685,quin3,78.0
